sample,domain,phylum,class,order,family,genus
ERR4775569.28,Bacteria,Cyanobacteriota,Cyanophyceae,Coleofasciculales,Coleofasciculaceae,Crassifilum
ERR4775569.29,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Neglecta
ERR4775569.30,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Chloroplast,Euglenida
ERR4775569.31,Bacteria,Planctomycetota,Planctomycetia,Brocadiales,Brocadiaceae,Brocadia
ERR4775569.32,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomaceae,Arcticibacterium
ERR4775569.33,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Luteibaculum
ERR4775569.34,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea
ERR4775569.35,Bacteria,Cloacimonetes,Cloacamonas,Cloacamonas,Cloacamonas,Cloacamonas
ERR4775569.36,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Catenibacillus
ERR4775569.37,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea
ERR4775569.38,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Aurantisolimonas
ERR4775569.39,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Carsonella,Carsonella
ERR4775569.40,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Tepiditoga
ERR4775569.41,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Baaleninema
ERR4775569.42,Bacteria,Bacillota,Bacillota_incertae_sedis,Negativibacillus,Negativibacillus,Negativibacillus
ERR4775569.43,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Botryobacter
ERR4775569.44,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ERR4775569.45,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudoleptotrichia
ERR4775569.46,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Penaeicola
ERR4775569.47,Archaea,Pacearchaeota,AR13,AR13,AR13,AR13
ERR4775569.48,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Robinsoniella
ERR4775569.49,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Aequoribacter
ERR4775569.50,Bacteria,Cyanobacteriota,Cyanophyceae,Desertifilales,Desertifilaceae,Desertifilum
ERR4775569.51,Bacteria,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Haemobartonella
ERR4775569.52,Bacteria,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Zarconia
ERR4775569.53,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudomarimonas
ERR4775569.54,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiivirga
ERR4775569.55,Bacteria,Bacillota,Clostridia,Halanaerobiales,Halanaerobiaceae,Halarsenatibacter
ERR4775569.56,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Hapalosiphonaceae,Aetokthonos
ERR4775569.57,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Anabaenopsis
ERR4775569.58,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Schlesneria
ERR4775569.59,Bacteria,Cyanobacteriota,Cyanophyceae,Coleofasciculales,Wilmottiaceae,Gracilinea
ERR4775569.60,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Carsonella,Carsonella
ERR4775569.61,Archaea,Parvarchaeota,Parvarchaeum,Parvarchaeum,Parvarchaeum,Parvarchaeum
ERR4775569.62,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Polystyrenella
ERR4775569.63,Bacteria,Pseudomonadota,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfospira
ERR4775569.64,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Fastidiosipila
ERR4775569.65,Archaea,Parvarchaeota,Parvarchaeum,Parvarchaeum,Parvarchaeum,Parvarchaeum
ERR4775569.66,Archaea,Woesearchaeota,AR16,AR16,AR16,AR16
ERR4775569.67,Bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Tepiditoga
ERR4775569.68,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alginatibacterium
ERR4775569.69,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Breznakiellaceae,Breznakiella
ERR4775569.70,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Panacibacter
ERR4775569.71,Eukaryota,Plantae,Liliopsida,Poales,Poaceae,Zea
ERR4775569.72,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Corallibacter
ERR4775569.73,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Quatrionicoccus
ERR4775569.74,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Saliphagus
ERR4775569.75,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
ERR4775569.76,Bacteria,Pseudomonadota,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia
ERR4775569.77,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Chloroplast,Euglenida
ERR4775569.78,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Porcincola
ERR4775569.79,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Coprobacillus
ERR4775569.80,Archaea,Pacearchaeota,AR13,AR13,AR13,AR13
ERR4775569.81,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Pseudomaribius
ERR4775569.82,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Lacimonas
ERR4775569.83,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera
ERR4775569.84,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Microbacter
ERR4775569.85,Archaea,Pacearchaeota,AR13,AR13,AR13,AR13
ERR4775569.86,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudoleptotrichia
ERR4775569.87,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
ERR4775569.88,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidisarcina
ERR4775569.89,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptoanaerobacter
