S003929816 Acidimicrobium ferrooxidans (T); ICP.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Acidimicrobium.
S000498586 Runella zeae (T); NS12.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Runella.
S000649812 Runella defluvii (T); EMB13.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Runella.
S000649817 Runella limosa (T); EMB111.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Runella.
S004056812 Runella slithyformis (T); ATCC 29530.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Runella.
S001188350 Siphonobacter aquaeclarae (T); P2.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Siphonobacter.
S000629072 Spirosoma linguale (T); type strain: LMG 10896.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Spirosoma.
S000859439 Spirosoma rigui (T); WPCB118.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Spirosoma.
S000979715 Spirosoma spitsbergense (T); SPM-9.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Spirosoma.
S000979716 Spirosoma luteum (T); SPM-10.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Spirosoma.
S000995680 Spirosoma panaciterrae (T); Gsoil 1519.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Spirosoma.
S000012082 Sporocytophaga myxococcoides (T); DSM 11118T.	Root;Bacteria;"Bacteroidetes";Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga.
S001168618 Caldisericum exile (T); AZM16c01.	Root;Bacteria;"Caldiserica";Caldisericia;Caldisericales;Caldisericaceae;Caldisericum.
S000414224 Chlamydia trachomatis (T); HAR-13.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia.
S000435880 Chlamydia muridarum (T); MoPn/Wiess-Nigg.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia.
S000438404 Chlamydia suis (T); S45.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia.
S000017485 Chlamydophila pneumoniae (T).	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila.
S000414096 Chlamydophila abortus (T); Ov/B577 (= ATCC VR656).	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila.
S000414201 Chlamydophila pecorum (T); E58.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila.
S000435877 Chlamydophila felis (T); Fe/Pn-1 (= ATCC VR120).	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila.
S000435878 Chlamydophila caviae (T); Gp/Ic (= ATCC VR813).	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila.
S000438310 Chlamydophila psittaci (T); 6BC; ATCC VR-125; M13mp8; M13mp9.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydophila.
S000388671 Neochlamydia hartmannellae (T); A1Hsp.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Parachlamydiaceae;Neochlamydia.
S000017487 Parachlamydia acanthamoebae (T); Bn9.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Parachlamydiaceae;Parachlamydia.
S000438346 Simkania negevensis (T); Z.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Simkaniaceae;Simkania.
S000428010 Waddlia chondrophila (T); WSU 86/1044.	Root;Bacteria;"Chlamydiae";Chlamydiia;Chlamydiales;Waddliaceae;Waddlia.
S000137973 Chlorobaculum thiosulfatiphilum (T); 6230.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobaculum.
S004056775 Chlorobaculum tepidum (T); TLS.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobaculum.
S000136880 Chlorobium phaeovibrioides (T); 2631.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S000137058 Chlorobium clathratiforme (T); BU-1.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S000588798 Chlorobium chlorovibrioides (T); UdG 6026.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S002288148 Chlorobium limicola (T); DSM 245.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S002288195 Chlorobium limicola (T); DSM 245.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S002290495 Chlorobium luteolum (T); DSM 273.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S002290602 Chlorobium luteolum (T); DSM 273.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S004064179 Chlorobium phaeobacteroides (T); DSM 266.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S004064180 Chlorobium phaeobacteroides (T); DSM 266.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chlorobium.
S000011521 Chloroherpeton thalassium (T); ATCC 35110.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Chloroherpeton.
S000004579 Prosthecochloris vibrioformis (T).	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Prosthecochloris.
S002290818 Prosthecochloris aestuarii (T); DSM 271.	Root;Bacteria;"Chlorobi";"Chlorobia";Chlorobiales;Chlorobiaceae;Prosthecochloris.
S000125963 Anaerolinea thermolimosa (T); IMO-1.	Root;Bacteria;"Chloroflexi";Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea.
S000383421 Anaerolinea thermophila (T); UNI-1.	Root;Bacteria;"Chloroflexi";Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea.
S000622966 Bellilinea caldifistulae (T); GOMI-1.	Root;Bacteria;"Chloroflexi";Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea.
S000125078 Leptolinea tardivitalis (T); YMTK-2.	Root;Bacteria;"Chloroflexi";Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea.
S000125079 Levilinea saccharolytica (T); KIBI-1.	Root;Bacteria;"Chloroflexi";Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea.
S000622967 Longilinea arvoryzae (T); KOME-1.	Root;Bacteria;"Chloroflexi";Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea.
S000384427 Caldilinea aerophila (T); STL-6-O1.	Root;Bacteria;"Chloroflexi";Caldilineae;Caldilineales;Caldilineaceae;Caldilinea.
S003291140 Litorilinea aerophila (T); PRI-4131.	Root;Bacteria;"Chloroflexi";Caldilineae;Caldilineales;Caldilineaceae;Litorilinea.
S000543676 Oscillochloris trichoides (T); Dg6.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Chloroflexales";Chloroflexineae;Oscillochloridaceae;Oscillochloris.
S000482832 Chloroflexus aurantiacus (T); J-10-fl.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Chloroflexales";Chloroflexineae;Chloroflexaceae;Chloroflexus.
S002287734 Chloroflexus aggregans (T); DSM 9485.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Chloroflexales";Chloroflexineae;Chloroflexaceae;Chloroflexus.
S002287944 Chloroflexus aggregans (T); DSM 9485.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Chloroflexales";Chloroflexineae;Chloroflexaceae;Chloroflexus.
S002288937 Chloroflexus aggregans (T); DSM 9485.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Chloroflexales";Chloroflexineae;Chloroflexaceae;Chloroflexus.
S002289054 Roseiflexus castenholzii (T); DSM 13941.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Chloroflexales";Chloroflexineae;Chloroflexaceae;Roseiflexus.
S004068914 Roseiflexus castenholzii (T); DSM 13941.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Chloroflexales";Chloroflexineae;Chloroflexaceae;Roseiflexus.
S000427981 Herpetosiphon geysericola (T); ATCC23076.	Root;Bacteria;"Chloroflexi";Chloroflexia;"Herpetosiphonales";"Herpetosiphonaceae";Herpetosiphon.
S002287227 Herpetosiphon aurantiacus (T).	Root;Bacteria;"Chloroflexi";Chloroflexia;"Herpetosiphonales";"Herpetosiphonaceae";Herpetosiphon.
S002288811 Herpetosiphon aurantiacus (T).	Root;Bacteria;"Chloroflexi";Chloroflexia;"Herpetosiphonales";"Herpetosiphonaceae";Herpetosiphon.
S004065249 Herpetosiphon aurantiacus (T).	Root;Bacteria;"Chloroflexi";Chloroflexia;"Herpetosiphonales";"Herpetosiphonaceae";Herpetosiphon.
S004065250 Herpetosiphon aurantiacus (T).	Root;Bacteria;"Chloroflexi";Chloroflexia;"Herpetosiphonales";"Herpetosiphonaceae";Herpetosiphon.
S004065251 Herpetosiphon aurantiacus (T).	Root;Bacteria;"Chloroflexi";Chloroflexia;"Herpetosiphonales";"Herpetosiphonaceae";Herpetosiphon.
S001240760 Dehalogenimonas lykanthroporepellens (T); BL-DC-9.	Root;Bacteria;"Chloroflexi";"Dehalococcoidetes";Dehalogenimonas.
S000701194 Ktedonobacter racemifer (T); SOSP1-21.	Root;Bacteria;"Chloroflexi";Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter.
S001416039 Thermosporothrix hazakensis (T); SK20-1.	Root;Bacteria;"Chloroflexi";Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae;Thermosporothrix.
S002150742 Thermogemmatispora onikobensis (T); ONI-1.	Root;Bacteria;"Chloroflexi";Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae;Thermogemmatispora.
S002150743 Thermogemmatispora foliorum (T); ONI-5.	Root;Bacteria;"Chloroflexi";Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae;Thermogemmatispora.
S000436216 Thermomicrobium roseum (T); ATCC 27502.	Root;Bacteria;"Chloroflexi";Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium.
S000145622 Sphaerobacter thermophilus (T); DSM 20745T.	Root;Bacteria;"Chloroflexi";Thermomicrobia;Sphaerobacteridae;Sphaerobacterales;"Sphaerobacterineae";Sphaerobacteraceae;Sphaerobacter.
S004067821 Dehalococcoides mccartyi (T); 195.	Root;Bacteria;"Chloroflexi";Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalococcoides.
S002236189 Ardenticatena maritima (T); 110S.	Root;Bacteria;"Chloroflexi";Ardenticatenia;Ardenticatenales;Ardenticatenaceae;Ardenticatena.
S003718757 Thermoflexus hugenholtzii (T); JAD2.	Root;Bacteria;"Chloroflexi";Thermoflexia;Thermoflexales;Thermoflexaceae;Thermoflexus.
S000130034 Chrysiogenes arsenatis (T); BAL-1.	Root;Bacteria;"Chrysiogenetes";Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Chrysiogenes.
S001613553 Desulfurispira natronophila (T); AHT 11.	Root;Bacteria;"Chrysiogenetes";Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Desulfurispira.
S000871062 Desulfurispirillum indicum (T); S5.	Root;Bacteria;"Chrysiogenetes";Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Desulfurispirillum.
S002355508 Desulfurispirillum alkaliphilum (T); SR 1.	Root;Bacteria;"Chrysiogenetes";Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Desulfurispirillum.
S001151835 Calditerrivibrio nitroreducens (T); Yu37-1 (= NBRC 101217).	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Calditerrivibrio.
S000102964 Deferribacter abyssi (T); JR.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Deferribacter.
S000133896 Deferribacter desulfuricans (T); SSM1.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Deferribacter.
S000438418 Deferribacter thermophilus (T); BMA1.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Deferribacter.
S000996137 Deferribacter autotrophicus (T); SL50.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Deferribacter.
S000388136 Denitrovibrio acetiphilus (T); N2460.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio.
S001910615 Flexistipes sinusarabici (T); DSM 4947.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Flexistipes.
S000004753 Geovibrio ferrireducens (T); PAL-1.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Geovibrio.
S000128273 Geovibrio thiophilus (T); type strain: AAFu3 = DSM 11263 = ATCC	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Geovibrio.
S000540537 Mucispirillum schaedleri (T); HRI I17.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum.
S000116870 Caldithrix abyssi (T); LF13T.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacterales_incertae_sedis;Caldithrix.
S001550376 Caldithrix palaeochoryensis (T); MC.	Root;Bacteria;"Deferribacteres";Deferribacteres;Deferribacterales;Deferribacterales_incertae_sedis;Caldithrix.
S001272307 Deinobacterium chartae (T); type strain: K4.1.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinobacterium.
S000000227 Deinococcus grandis (T); DSM 3963T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000000418 Deinococcus murrayi (T); ALT-1bT.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000008497 Deinococcus radiophilus (T); DSM 20551T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000009620 Deinococcus radiodurans (T); DSM 20539T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000009621 Deinococcus radiopugnans (T); ATCC 19172T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000022313 Deinococcus proteolyticus (T); DSM 20540T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000247785 Deinococcus frigens (T); AA692.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000247787 Deinococcus saxicola (T); AA1444.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000247788 Deinococcus marmoris (T); AA63.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000276452 Deinococcus indicus (T); type strain:Wt/1a.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000481081 Deinococcus deserti (T); VCD115.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000541101 Deinococcus ficus (T); CC-FR2-10.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000541630 Deinococcus aquaticus (T); PB314.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000541631 Deinococcus caeni (T); Ho-08.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595378 Deinococcus hohokamensis (T); KR-40.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595381 Deinococcus navajonensis (T); KR-114.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595384 Deinococcus hopiensis (T); KR-140.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595386 Deinococcus apachensis (T); KR-36.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595396 Deinococcus maricopensis (T); LB-34.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595399 Deinococcus pimensis (T); KR-235.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595401 Deinococcus yavapaiensis (T); KR-236.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000595405 Deinococcus sonorensis (T); KR-87.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000640799 Deinococcus yunweiensis (T); YIM 007.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000701121 Deinococcus aetherius (T); ST0316.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000701122 Deinococcus aerius (T); TR0125.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000711121 Deinococcus depolymerans (T); TDMA-24.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000711122 Deinococcus misasensis (T); TDMA-25.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000711123 Deinococcus roseus (T); TDMA-uv51.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000711162 Deinococcus aquiradiocola (T); TDMA-uv53.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000721985 Deinococcus piscis (T); 3ax.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000728611 Deinococcus cellulosilyticus (T); 5516J-15.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000871078 Deinococcus peraridilitoris (T); KR-200.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000902853 Deinococcus wulumuqiensis (T); R12.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000995022 Deinococcus aquatilis (T); type strain: CCUG 53370.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000996434 Deinococcus gobiensis (T); I-0.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001095318 Deinococcus radiomollis (T); PO-04-20-132.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001095320 Deinococcus claudionis (T); PO-04-19-125.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001095321 Deinococcus altitudinis (T); ME-04-01-32.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001095322 Deinococcus alpinitundrae (T); ME-04-04-52.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001098404 Deinococcus aerolatus (T); 5516T-9.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001098405 Deinococcus aerophilus (T); 5516T-11.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001098513 Deinococcus xinjiangensis (T); X-82.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S001577619 Deinococcus humi (T); MK03.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S002287750 Deinococcus geothermalis (T); DSM 11300.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S002289272 Deinococcus geothermalis (T); DSM 11300.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S002951950 Deinococcus daejeonensis (T); MJ27.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S004067500 Deinococcus geothermalis (T); DSM 11300.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Deinococcaceae;Deinococcus.
S000537030 Truepera radiovictrix (T); RQ-24.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Deinococcales;Trueperaceae;Truepera.
S000384787 Marinithermus hydrothermalis (T); T1.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Marinithermus.
S000013910 Meiothermus cerbereus (T); GY-1T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S000019095 Meiothermus chliarophilus (T); ALT-8.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S000019098 Meiothermus ruber (T); ATCC 35948.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S000393846 Meiothermus taiwanensis (T); WR-30.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S000539695 Meiothermus timidus (T); type strain:SPS-243.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S000967342 Meiothermus cateniformans (T); LY1.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S001294722 Meiothermus rufus (T); CAL-4.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S002224796 Meiothermus granaticius (T); AF-68.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S002291042 Meiothermus silvanus (T).	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S004065597 Meiothermus silvanus (T).	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Meiothermus.
S000134123 Oceanithermus profundus (T); type strain: DSM 14977 = 506.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Oceanithermus.
S000415043 Oceanithermus desulfurans (T); St55B.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Oceanithermus.
S000000264 Thermus oshimai (T); SPS-17T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S000019653 Thermus antranikianii (T); HN3-7T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S000020770 Thermus igniterrae (T); RF-4T.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S000127512 Thermus brockianus (T); YS38.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S000381199 Thermus thermophilus (T); HB8.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S000427881 Thermus scotoductus (T); Se - 1.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S000967340 Thermus arciformis (T); TH92.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S001153454 Thermus islandicus (T); PRI-3838.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S004455464 Thermus aquaticus (T); YT-1.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Thermus.
S000458920 Vulcanithermus mediatlanticus (T); type strain: TR.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Vulcanithermus.
S002233248 Rhabdothermus arcticus (T); 2M70-1.	Root;Bacteria;"Deinococcus-Thermus";Deinococci;Thermales;Thermaceae;Rhabdothermus.
S000010022 Dictyoglomus thermophilum (T); DSM 3960 T.	Root;Bacteria;"Dictyoglomi";"Dictyoglomia";"Dictyoglomales";"Dictyoglomaceae";Dictyoglomus.
S002289834 Dictyoglomus turgidum (T); DSM 6724.	Root;Bacteria;"Dictyoglomi";"Dictyoglomia";"Dictyoglomales";"Dictyoglomaceae";Dictyoglomus.
S004064388 Dictyoglomus turgidum (T); DSM 6724.	Root;Bacteria;"Dictyoglomi";"Dictyoglomia";"Dictyoglomales";"Dictyoglomaceae";Dictyoglomus.
S001416064 Elusimicrobium minutum (T); type strain:Pei191.	Root;Bacteria;"Elusimicrobia";Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium.
S000351762 Fibrobacter succinogenes (T); ATCC 19169.	Root;Bacteria;"Fibrobacteres";"Fibrobacteria";"Fibrobacterales";"Fibrobacteraceae";Fibrobacter.
S000351764 Fibrobacter intestinalis (T); NR9.	Root;Bacteria;"Fibrobacteres";"Fibrobacteria";"Fibrobacterales";"Fibrobacteraceae";Fibrobacter.
S001873793 Fibrobacter succinogenes (T); HM2.	Root;Bacteria;"Fibrobacteres";"Fibrobacteria";"Fibrobacterales";"Fibrobacteraceae";Fibrobacter.
S002446536 Chitinivibrio alkaliphilus (T); ACht1.	Root;Bacteria;"Fibrobacteres";Chitinivibrionia;Chitinivibrionales;Chitinivibrionaceae;Chitinivibrio.
S000020432 Cetobacterium ceti (T); M-3333; NCFB 3026.	Root;Bacteria;"Fusobacteria";Fusobacteriia;"Fusobacteriales";"Fusobacteriaceae";Cetobacterium.
S000273264 Cetobacterium somerae (T); WAL 14325.	Root;Bacteria;"Fusobacteria";Fusobacteriia;"Fusobacteriales";"Fusobacteriaceae";Cetobacterium.
S000126816 Fusobacterium equinum (T); horse; VPB 4027.	Root;Bacteria;"Fusobacteria";Fusobacteriia;"Fusobacteriales";"Fusobacteriaceae";Fusobacterium.
S000259986 Fusobacterium nucleatum (T); NCTC 12276T.	Root;Bacteria;"Fusobacteria";Fusobacteriia;"Fusobacteriales";"Fusobacteriaceae";Fusobacterium.
S000260569 Fusobacterium gonidiaformans (T); ATCC 25563T.	Root;Bacteria;"Fusobacteria";Fusobacteriia;"Fusobacteriales";"Fusobacteriaceae";Fusobacterium.
S000260725 Fusobacterium ulcerans (T); NCTC 12111T.	Root;Bacteria;"Fusobacteria";Fusobacteriia;"Fusobacteriales";"Fusobacteriaceae";Fusobacterium.
