S003929816 Acidimicrobium ferrooxidans (T); ICP.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Acidimicrobium.
S000010365 Corynebacterium matruchotii (T); CIP 81.82T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000011560 Corynebacterium afermentans (T); CIP 103499T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000011673 Corynebacterium lipophiloflavum (T); DMMZ 1944; CCUG 37336; DSM	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000011691 Corynebacterium freneyi (T); 20695110.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000011721 Corynebacterium felinum (T).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000011929 Corynebacterium argentoratense (T); CIP 104296.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000012689 Corynebacterium afermentans (T); CIP 103500.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000012691 Corynebacterium amycolatum (T); CIP 103452T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000012703 Corynebacterium renale (T); CIP 103421T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000012810 Corynebacterium kroppenstedtii (T); CCUG 35717.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000013055 Corynebacterium confusum (T); DMMZ 2439.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000013868 Corynebacterium pilosum (T); ATCC 29592T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000013970 Corynebacterium sundsvallense (T); CCUG 36622.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000014236 Corynebacterium xerosis (T); ATCC 373T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000014709 Corynebacterium camporealensis (T); CRS-51; CECT 4897.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000015686 Corynebacterium glucuronolyticum (T); GF 838 (=DSM 44120).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000016131 Corynebacterium singulare (T); IBS B52218; CCUG 37330.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000020184 Corynebacterium falsenii (T); CCUG 33651.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000021264 Corynebacterium riegelii (T); dmmz 2415.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000021619 Corynebacterium phocae (T); M408/89/1; CCUG 38205.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000022417 Corynebacterium capitovis (T); CCUG 39779 (type strain).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000022538 Corynebacterium testudinoris (T); CCUG 41823T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000083753 Corynebacterium coyleae (T); type strain: DSM 44184 = CCUG 35014 =	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000084047 Corynebacterium mucifaciens (T); DMMZ 2278.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000095332 Corynebacterium appendicis (T); DSM 44531T; IMMIB R-3491.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000116241 Corynebacterium spheniscorum (T); CCUG 45512T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000128467 Corynebacterium tuberculostearicum (T); CIP107291.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
